17910,70,1079,LA MANSION,416 54,75,77,Xelpac,Kanasin,XELPAC - KANASIN,,97370,,104,C,2.3333333333,W0,R,1,281,004802810070,1,1,20.934608,-89.577772,20/07/2010,28,12
17975,70,1079,PUNTO MODELORAMA XELPAC,326 52,73,73-A,Kanasin,Kanasin,XELPAC - KANASIN,,97370,,104,D,1.995375,W0,R,1,281,004802810070,1,1,20.937433,-89.576383,31/07/2010,23.9445,12
18032,70,1076,TENDEJON MADERA DE ABRIL,209 29A,14A,16,MERIDA,MERIDA,RINCONADA DE KANASIN,,0,,104,B,12.7291583333,W0,LRV,3,281,004802810070,3,3,20.932695,-89.538857,10/08/2010,152.7499,12
18130,70,1079,ARCOIRIS,327 42,71,71A,MERIDA,MERIDA,XELPAC - KANASIN AMPLEACION,,97000,,106,A,21.4444416667,W0,LRV,3,281,004802810070,3,3,20.94082,-89.577159,25/08/2010,257.3333,12
18204,70,1076,TJON. LOS 3 GARCIA,S/N 27,24,24-A,MERIDA,MERIDA,KANASIN,,97370,,135,D,1.3009333333,W0,L,1,281,004802810070,1,1,20.931098,-89.560886,08/09/2010,15.6112,12
18210,70,1076,TDA. LA FLOR GUADALUPE,122 24,23,25,Kanasin,Kanasin,KANASIN,,0,,104,C,6.8796333333,W0,LV,2,281,004802810070,2,2,20.933054,-89.558733,09/09/2010,82.5556,12
18216,70,1077,TJON. LOS PRIMOS,S/N 44,25,27,Cuauhtemoc,Kanasin,CUAUHTEMOC KANASIN,,0,,104,A,15.2569666667,W0,LRV,3,281,004802810070,3,3,20.934021,-89.56769,10/09/2010,183.0836,12
18430,70,1076,TJON. LOS HNOS.,381 29-A,24-A,26-A,Kanasin,Kanasin,HECTOR VICTORIA KANASIN,,97370,,104,B,10.9791666667,W0,LV,2,281,004802810070,2,2,20.926768,-89.562915,19/10/2010,131.75,12
18694,70,1079,CAFE PLAZA INTERNACIONAL,S/N 14,11,13,Cuauhtemoc,Kanasin,CUAUHTEMOC KANASIN,,97370,,114,C,4.3426,W0,LR,2,281,004802810070,2,2,20.93483,-89.57338,07/12/2010,52.1112,12
18980,70,1075,TDA. EL REY,99 19,18,20,MERIDA,MERIDA,KOPOMA,,97818,,104,C,1.9652833333,W0,J,1,281,004802810070,1,1,20.650147,-89.899675,07/02/2011,23.5834,12
